time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-04-22 09:30:00-04:00,MLTrader,5d8a97912dd04acba5cb354a003989c5,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-04-22 09:30:00-04:00,MLTrader,5d8a97912dd04acba5cb354a003989c5,SPY,buy,market,fill,1,gtc,0.0,1,stock,497.8299865722656,10.0,0.0
