datetime,portfolio_value,cash,return
2024-04-22 09:30:00-04:00,100000.0,100000.0,
2024-04-23 09:30:00-04:00,100039.50012207031,95021.70013427734,0.00039500122070301735
2024-04-24 09:30:00-04:00,100087.30010986328,95021.70013427734,0.00047781114194545005
2024-04-25 09:30:00-04:00,100013.50006103516,95021.70013427734,-0.0007373567750066368
2024-04-26 09:30:00-04:00,100085.2001953125,95021.70013427734,0.0007169045602202218
2024-04-27 09:30:00-04:00,100085.2001953125,95021.70013427734,0.0
2024-04-29 09:30:00-04:00,100122.60009765625,95021.70013427734,0.00037368064679665913
2024-04-30 09:30:00-04:00,100107.30010986328,95021.70013427734,-0.000152812529619184
2024-05-01 09:30:00-04:00,100035.50018310547,95021.70013427734,-0.0007172296793441779
2024-05-02 09:30:00-04:00,100063.20007324219,95021.70013427734,0.00027690060114671233
2024-05-03 09:30:00-04:00,100133.30017089844,95021.70013427734,0.0007005582232522123
2024-05-04 09:30:00-04:00,100133.30017089844,95021.70013427734,0.0
2024-05-06 09:30:00-04:00,100159.20013427734,95021.70013427734,0.0002586548464367233
2024-05-07 09:30:00-04:00,100197.30010986328,95021.70013427734,0.00038039416783330893
2024-05-08 09:30:00-04:00,100174.3002319336,95021.70013427734,-0.0002295458850135601
2024-05-09 09:30:00-04:00,100195.50018310547,95021.70013427734,0.00021163063902407409
2024-05-10 09:30:00-04:00,100239.80010986328,95021.70013427734,0.00044213489305255926
2024-05-11 09:30:00-04:00,100239.80010986328,95021.70013427734,0.0
2024-05-13 09:30:00-04:00,100247.30010986328,95021.70013427734,7.482058016661242e-05
2024-05-14 09:30:00-04:00,100232.79998779297,95021.70013427734,-0.00014464351712639711
2024-05-15 09:30:00-04:00,100280.00030517578,95021.70013427734,0.0004709069026163082
2024-05-16 09:30:00-04:00,100320.50018310547,95021.70013427734,0.00040386794781044344
2024-05-17 09:30:00-04:00,100309.80010986328,95021.70013427734,-0.00010665889048255828
2024-05-18 09:30:00-04:00,100309.80010986328,95021.70013427734,0.0
